Controls,PPO1,Receivers,PPO2,Mut/WT,PPO3
CG,774.704,CR,488.374,MD,6579.484
CG,1853.542,CR,1419.027,MD,8786.272
CG,677.785,CR,1077.28,MD,7053.472
CG,631.846,CR,1501.481,MD,6265.328
CG,1114.965,CR,915.295,MR,1281.581
CO,983.025,CR,1115.126,MR,912.133
CO,576.9,MR,1281.581,MR,1951.624
CO,917.873,MR,912.133,MR,1214.443
CO,888.132,MR,1951.624,MR,687.036
CO,401.274,MR,1214.443,MR,643.491
CCD,1263.541,MR,687.036,WD,5130.053
CCD,1113.671,MR,643.491,WD,4676.92
CCD,1109.563,WR,995.744,WD,5158.001
CCD,582.171,WR,639.848,WD,6246.742
CCD,986.03,WR,666.979,WR,995.744
CCR,838.947,WR,959.109,WR,639.848
CCR,1034.325,WR,498.194,WR,666.979
CCR,290.415,,,WR,959.109
CCR,674.168,,,,
CCR,1014.673,,,,
CD,741.512,,,,
CD,797.575,,,,
CD,1492.311,,,,
CD,701.945,,,,
CD,904.606,,,,
CD,966.953,,,,
CR,488.374,,,,
CR,1419.027,,,,
CR,1077.28,,,,
CR,1501.481,,,,
CR,915.295,,,,
CR,1115.126,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
WR,498.194,,,,
